,Train CTC Loss,Test CTC Loss,Test Edit Distance,Test Normalized Edit Distance
1,12.308340017795564,12.618084659576416,3.625,1.0
2,11.038615221977233,12.622353353500365,3.625,1.0
3,10.98478325843811,12.509132661819457,3.3665625,0.9320833333333322
4,10.922209100723267,12.451854562759399,3.2353125,0.8986979166666659
5,10.364116790294647,12.05588324546814,3.1828125,0.8827083333333315
6,10.151674387454987,12.370083103179931,3.2071875,0.8903906249999989
7,9.736322660446167,11.130345849990844,3.0621875,0.8518229166666659
8,8.79722705245018,10.081239528656006,2.963125,0.8216406249999985
9,7.776993950605393,9.220152082443237,2.790625,0.7760937499999992
10,6.403671565055848,6.874086265563965,2.266875,0.6321093750000031
11,2.149231571033597,0.7229416844248772,1.0278125,0.20732477678571454
12,0.42506862548878416,0.44973792135715485,0.1396875,0.027551339285714294
13,0.286725383104058,0.340403057821095,0.09125,0.018537574404761913
14,0.21277281835093162,0.2972078947350383,0.1040625,0.020873139880952397
15,0.13083724485535642,0.1894699898851104,0.06,0.011949776785714288
16,0.09897554245078936,0.1377386232605204,0.04375,0.008684895833333331
17,0.07384258739824873,0.16496772080194205,0.0575,0.011114955357142855
18,0.06795895042363555,0.221736351121217,0.195625,0.03741778273809526
19,0.05354216231382452,0.14362199198571035,0.1896875,0.03815997023809528
20,0.049900330549571666,0.19187263356288894,0.2509375,0.04882663690476182
